Index,Problem,Percentage,Difficulty,Status
1,2874. Maximum Value of an Ordered Triplet II,56.8%,Medium,~visited
2,359. Logger Rate Limiter,76.4%,Easy,~visited
3,1526. Minimum Number of Increments on Subarrays to Form a Target Array,72.0%,Hard,~visited
4,715. Range Module,44.1%,Hard,~visited
5,2458. Height of Binary Tree After Subtree Removal Queries,54.9%,Hard,~visited
6,1825. Finding MK Average,38.0%,Hard,~visited
7,1110. Delete Nodes And Return Forest,72.4%,Medium,~visited
8,939. Minimum Area Rectangle,54.9%,Medium,~visited
9,2863. Maximum Length of Semi-Decreasing Subarrays,70.1%,Medium,~visited
10,3287. Find the Maximum Sequence Value of Array,18.2%,Hard,~visited
11,1101. The Earliest Moment When Everyone Become Friends,65.6%,Medium,~visited
12,2402. Meeting Rooms III,43.9%,Hard,~visited
13,975. Odd Even Jump,40.6%,Hard,~visited
14,2667. Create Hello World Function,82.0%,Easy,~visited
15,2700. Differences Between Two Objects,75.2%,Medium,~visited
16,2025. Maximum Number of Ways to Partition an Array,34.4%,Hard,~visited
17,2101. Detonate the Maximum Bombs,49.0%,Medium,~visited
18,1. Two Sum,55.3%,Easy,~visited
19,2842. Count K-Subsequences of a String With Maximum Beauty,29.4%,Hard,~visited
20,1136. Parallel Courses,61.7%,Medium,~visited
21,963. Minimum Area Rectangle II,55.4%,Medium,~visited
22,843. Guess the Word,37.9%,Hard,~visited
23,2713. Maximum Strictly Increasing Cells in a Matrix,30.5%,Hard,~visited
24,1820. Maximum Number of Accepted Invitations,51.6%,Medium,~visited
25,2018. Check if Word Can Be Placed In Crossword,49.9%,Medium,~visited
26,2013. Detect Squares,51.9%,Medium,~visited
27,2633. Convert Object to JSON String,77.8%,Medium,~visited
28,1768. Merge Strings Alternately,82.0%,Easy,~visited
29,2235. Add Two Integers,88.1%,Easy,~visited
30,2534. Time Taken to Cross the Door,49.0%,Hard,~visited
31,759. Employee Free Time,72.5%,Hard,~visited
32,253. Meeting Rooms II,52.0%,Medium,~visited
33,88. Merge Sorted Array,52.4%,Easy,~visited
34,2812. Find the Safest Path in a Grid,48.3%,Medium,~visited
35,2437. Number of Valid Clock Times,47.3%,Easy,~visited
36,3355. Zero Array Transformation I,45.6%,Medium,~visited
37,2663. Lexicographically Smallest Beautiful String,38.8%,Hard,~visited
38,900. RLE Iterator,59.8%,Medium,~visited
39,2316. Count Unreachable Pairs of Nodes in an Undirected Graph,49.2%,Medium,~visited
40,2265. Count Nodes Equal to Average of Subtree,86.3%,Medium,~visited
41,1381. Design a Stack With Increment Operation,80.5%,Medium,~visited
42,681. Next Closest Time,46.9%,Medium,~visited
43,1509. Minimum Difference Between Largest and Smallest Value in Three Moves,59.2%,Medium,~visited
44,351. Android Unlock Patterns,53.2%,Medium,~visited
45,1757. Recyclable and Low Fat Products,89.3%,Easy,~visited
46,833. Find And Replace in String,51.4%,Medium,~visited
47,2088. Count Fertile Pyramids in a Land,65.2%,Hard,~visited
