Index,Problem,Percentage,Difficulty,Status
1,3303. Find the Occurrence of First Almost Equal Substring,13.4%,Hard,~visited
2,49. Group Anagrams,70.5%,Medium,~visited
3,23. Merge k Sorted Lists,56.1%,Hard,~visited
4,540. Single Element in a Sorted Array,59.2%,Medium,~visited
5,685. Redundant Connection II,34.9%,Hard,~visited
6,604. Design Compressed String Iterator,40.1%,Easy,~visited
7,1674. Minimum Moves to Make Array Complementary,41.4%,Medium,~visited
8,250. Count Univalue Subtrees,57.0%,Medium,~visited
9,198. House Robber,52.1%,Medium,~visited
10,1376. Time Needed to Inform All Employees,60.2%,Medium,~visited
11,162. Find Peak Element,46.4%,Medium,~visited
12,283. Move Zeroes,62.6%,Easy,~visited
13,389. Find the Difference,59.6%,Easy,~visited
14,405. Convert a Number to Hexadecimal,50.5%,Easy,~visited
15,852. Peak Index in a Mountain Array,67.7%,Medium,~visited
16,1480. Running Sum of 1d Array,87.0%,Easy,~visited
17,400. Nth Digit,35.4%,Medium,~visited
18,"50. Pow(x, n)",36.6%,Medium,~visited
19,1497. Check If Array Pairs Are Divisible by k,46.2%,Medium,~visited
20,514. Freedom Trail,58.8%,Hard,~visited
21,935. Knight Dialer,61.0%,Medium,~visited
22,1813. Sentence Similarity III,48.7%,Medium,~visited
23,2429. Minimize XOR,62.4%,Medium,~visited
24,189. Rotate Array,42.6%,Medium,~visited
25,384. Shuffle an Array,58.9%,Medium,~visited
26,19. Remove Nth Node From End of List,48.3%,Medium,~visited
27,726. Number of Atoms,65.0%,Hard,~visited
28,1386. Cinema Seat Allocation,42.5%,Medium,~visited
29,3043. Find the Length of the Longest Common Prefix,56.3%,Medium,~visited
30,658. Find K Closest Elements,48.4%,Medium,~visited
31,1963. Minimum Number of Swaps to Make the String Balanced,77.9%,Medium,~visited
32,692. Top K Frequent Words,59.0%,Medium,~visited
33,1190. Reverse Substrings Between Each Pair of Parentheses,71.7%,Medium,~visited
34,2493. Divide Nodes Into the Maximum Number of Groups,67.5%,Hard,~visited
35,316. Remove Duplicate Letters,51.0%,Medium,~visited
36,16. 3Sum Closest,46.7%,Medium,~visited
37,395. Longest Substring with At Least K Repeating Characters,45.3%,Medium,~visited
38,846. Hand of Straights,56.9%,Medium,~visited
39,1410. HTML Entity Parser,50.2%,Medium,~visited
40,46. Permutations,80.3%,Medium,~visited
41,1108. Defanging an IP Address,89.6%,Easy,~visited
42,581. Shortest Unsorted Continuous Subarray,37.3%,Medium,~visited
43,60. Permutation Sequence,49.4%,Hard,~visited
